-0.0669  	-0.1306  	0.02537  	0.05049  	-0.2126  	-0.0220  	0.29450  	-0.1057  	0.03761  	0.35603  	0.46153  	0.06965  	-0.0160  	0.08431  	-0.3482  	0.05254  	0.14639  	0.03197  	-0.0970  	0.90019  	0.53223  	-0.4358  	-0.3844  	0.14300  	0.03302  	-0.0995  	-0.4279  	-0.1159  	-0.0752  	-0.1642  	-0.0990  	0.10063  	-0.0600  	0.08166  	0.20494  	-0.2606  	-0.0808  	-0.0576  	-0.2247  	-0.1459  	-0.0068  	-0.0531  	-0.0727  	0.09107  	0.08449  	-0.0185  	0.06377  	-0.1050  	-0.0181  	-0.0007  	-0.0053  	0.00463  	-0.0167  	-0.0076  	0.01457  	-0.0242  	-0.0177  	0.01849  	-0.0001  	-0.0111  	0.00282  	0.04459  	0.08484  	-0.0005  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.1834  	-0.1858  	-0.0447  	-0.0055  	-0.2320  	-0.1174  	0.29160  	-0.1963  	-0.0221  	0.39873  	0.51466  	0.09050  	-0.0425  	-0.0246  	-0.4391  	-0.0018  	0.12398  	0.05938  	-0.1358  	0.95589  	0.43038  	-0.4754  	-0.3813  	0.08411  	0.02368  	-0.0932  	-0.5141  	0.00547  	0.01710  	-0.1699  	-0.1054  	0.07353  	-0.0771  	0.07883  	0.14521  	-0.1937  	-0.1574  	-0.0769  	-0.1736  	-0.1049  	0.02844  	-0.0473  	-0.0715  	0.08981  	0.08753  	-0.0207  	0.06432  	-0.1028  	-0.0276  	0.00337  	-0.0029  	0.00401  	-0.0133  	-0.0068  	0.02088  	-0.0260  	-0.0147  	0.02575  	0.00469  	-0.0127  	0.00668  	0.03832  	0.08685  	0.00413  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.1493  	-0.1530  	0.00794  	0.02293  	-0.2369  	-0.0829  	0.29807  	-0.1421  	-0.0019  	0.37492  	0.50358  	0.09052  	-0.0333  	0.03276  	-0.4079  	0.02525  	0.12936  	0.05029  	-0.1245  	0.92894  	0.49423  	-0.4662  	-0.3869  	0.08967  	-0.0006  	-0.0898  	-0.4966  	-0.0204  	-0.0245  	-0.1750  	-0.1011  	0.08442  	-0.0672  	0.08547  	0.16809  	-0.2417  	-0.1312  	-0.0645  	-0.2101  	-0.1303  	0.01694  	-0.0556  	-0.0704  	0.08218  	0.09486  	-0.0192  	0.06901  	-0.1093  	-0.0213  	0.00313  	-0.0030  	0.00319  	-0.0143  	-0.0124  	0.01495  	-0.0267  	-0.0145  	0.02220  	-0.0015  	-0.0169  	0.00260  	0.04429  	0.08415  	0.00059  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.0928  	-0.1236  	0.05651  	0.04820  	-0.2428  	-0.0502  	0.30156  	-0.1114  	0.03364  	0.33685  	0.51040  	0.08699  	-0.0186  	0.05697  	-0.3739  	0.06390  	0.11596  	0.02720  	-0.1115  	0.92531  	0.55873  	-0.4643  	-0.3950  	0.09534  	-0.0013  	-0.0962  	-0.4892  	-0.0757  	-0.0777  	-0.1801  	-0.0999  	0.09219  	-0.0564  	0.07955  	0.19757  	-0.2680  	-0.0933  	-0.0565  	-0.2311  	-0.1446  	-0.0001  	-0.0503  	-0.0849  	0.08982  	0.09041  	-0.0199  	0.06752  	-0.1186  	-0.0241  	0.00469  	-0.0058  	0.00189  	-0.0136  	-0.0087  	0.01273  	-0.0238  	-0.0131  	0.02050  	-0.0051  	-0.0140  	0.00381  	0.04860  	0.08188  	0.00067  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.1152  	-0.1285  	0.05406  	0.02248  	-0.2476  	-0.0803  	0.30036  	-0.1340  	0.01684  	0.35071  	0.52452  	0.08134  	-0.0327  	0.04534  	-0.3983  	0.05449  	0.11415  	0.04200  	-0.1182  	0.92411  	0.54503  	-0.4776  	-0.4009  	0.07742  	-0.0053  	-0.0968  	-0.5011  	-0.0492  	-0.0551  	-0.1828  	-0.0993  	0.09112  	-0.0593  	0.08379  	0.18611  	-0.2611  	-0.1028  	-0.0584  	-0.2268  	-0.1401  	0.00596  	-0.0522  	-0.0818  	0.08576  	0.09335  	-0.0185  	0.07142  	-0.1181  	-0.0236  	0.00377  	-0.0048  	0.00174  	-0.0145  	-0.0094  	0.01400  	-0.0241  	-0.0147  	0.02166  	-0.0041  	-0.0164  	0.00362  	0.04691  	0.08225  	0.00038  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.1403  	-0.1322  	0.04230  	0.00085  	-0.2509  	-0.0951  	0.29588  	-0.1350  	0.00549  	0.35977  	0.52379  	0.08482  	-0.0353  	0.03924  	-0.4165  	0.04828  	0.11029  	0.05235  	-0.1189  	0.92031  	0.52979  	-0.4797  	-0.3988  	0.07106  	-0.0116  	-0.0916  	-0.5092  	-0.0411  	-0.0448  	-0.1830  	-0.0941  	0.08790  	-0.0607  	0.08510  	0.17755  	-0.2568  	-0.1128  	-0.0604  	-0.2205  	-0.1402  	0.01172  	-0.0508  	-0.0789  	0.08414  	0.09598  	-0.0189  	0.07293  	-0.1182  	-0.0223  	0.00469  	-0.0053  	0.00166  	-0.0146  	-0.0112  	0.01417  	-0.0250  	-0.0149  	0.02294  	-0.0038  	-0.0184  	0.00334  	0.04657  	0.08079  	-0.0002  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.1699  	-0.1512  	0.01835  	-0.0066  	-0.2468  	-0.1095  	0.29611  	-0.1477  	-0.0044  	0.36573  	0.52602  	0.08508  	-0.0397  	0.02084  	-0.4297  	0.03292  	0.10863  	0.06697  	-0.1263  	0.93830  	0.50710  	-0.4875  	-0.4110  	0.06005  	-0.0061  	-0.0914  	-0.5292  	-0.0125  	-0.0187  	-0.1856  	-0.0989  	0.08052  	-0.0636  	0.08544  	0.17017  	-0.2429  	-0.1310  	-0.0716  	-0.2135  	-0.1344  	0.02108  	-0.0480  	-0.0776  	0.08042  	0.09966  	-0.0214  	0.07415  	-0.1188  	-0.0211  	0.00573  	-0.0046  	-0.0004  	-0.0141  	-0.0127  	0.01391  	-0.0250  	-0.0118  	0.02348  	-0.0049  	-0.0168  	0.00187  	0.04481  	0.08238  	-8.7586  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.3334  	-0.2165  	-0.0923  	-0.0962  	-0.2098  	-0.2399  	0.29770  	-0.2869  	-0.0292  	0.49590  	0.45946  	0.09027  	-0.0144  	-0.0925  	-0.6191  	0.00392  	0.08998  	0.14229  	-0.1338  	1.05165  	0.25118  	-0.4817  	-0.5048  	-0.0346  	0.02355  	-0.0778  	-0.6871  	0.23832  	0.16354  	-0.1731  	-0.0789  	0.03842  	-0.0529  	0.09855  	0.05683  	-0.1229  	-0.3194  	-0.1444  	-0.1214  	-0.0809  	0.06147  	-0.0508  	-0.0689  	0.07477  	0.08886  	-0.0269  	0.07335  	-0.0999  	-0.0147  	0.00074  	0.01218  	-0.0004  	-0.0143  	-0.0186  	0.01704  	-0.0276  	-0.0036  	0.02115  	0.00159  	-0.0124  	-0.0007  	0.03849  	0.08390  	0.00771  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.3951  	-0.2929  	-0.1627  	-0.1206  	-0.2164  	-0.2832  	0.32949  	-0.3469  	-0.0679  	0.51178  	0.44261  	0.04879  	-0.0503  	-0.1964  	-0.6905  	-0.0155  	0.09789  	0.17266  	-0.1136  	1.08026  	0.14025  	-0.4756  	-0.5425  	-0.0281  	0.09705  	-0.0792  	-0.6957  	0.29853  	0.22810  	-0.1617  	-0.0924  	0.04634  	-0.0938  	0.09726  	0.00990  	-0.0588  	-0.3658  	-0.1449  	-0.1020  	-0.0646  	0.06418  	-0.0635  	-0.0603  	0.08327  	0.08643  	-0.0276  	0.06908  	-0.0916  	-0.0125  	-8.0607  	0.01274  	0.00243  	-0.0182  	-0.0166  	0.02179  	-0.0319  	-0.0003  	0.02297  	-0.0005  	-0.0153  	-0.0031  	0.03558  	0.08955  	0.00210  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.3644  	-0.2968  	-0.1505  	-0.0905  	-0.2109  	-0.2421  	0.31771  	-0.3285  	-0.0649  	0.46990  	0.46061  	0.00686  	-0.0838  	-0.2490  	-0.7040  	0.02455  	0.09701  	0.17582  	-0.1015  	1.06942  	0.20865  	-0.5007  	-0.5536  	0.02908  	0.12412  	-0.0907  	-0.5975  	0.22314  	0.16339  	-0.1539  	-0.1166  	0.07596  	-0.0987  	0.07707  	0.06277  	-0.0653  	-0.3053  	-0.1256  	-0.1356  	-0.0672  	0.05360  	-0.0574  	-0.0720  	0.09506  	0.08867  	-0.0238  	0.06166  	-0.0941  	-0.0129  	-0.0082  	0.02238  	0.00363  	-0.0133  	-0.0137  	0.01902  	-0.0326  	0.00180  	0.02552  	0.00281  	-0.0125  	-0.0064  	0.03037  	0.09429  	0.00305  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.4938  	-0.3137  	-0.1670  	-0.2262  	-0.2760  	-0.3133  	0.32872  	-0.3347  	-0.0732  	0.48766  	0.53108  	-0.0046  	-0.1018  	-0.2804  	-0.8001  	-0.0075  	0.07765  	0.19426  	-0.0965  	1.07478  	0.16112  	-0.4870  	-0.5191  	0.01753  	0.09917  	-0.1000  	-0.6261  	0.25626  	0.19055  	-0.1766  	-0.0875  	0.04594  	-0.1039  	0.09288  	0.03913  	-0.0539  	-0.3258  	-0.1383  	-0.1224  	-0.0795  	0.07431  	-0.0593  	-0.0710  	0.10057  	0.09083  	-0.0345  	0.06857  	-0.0982  	-0.0014  	0.00221  	0.01972  	0.00255  	-0.0185  	-0.0135  	0.02258  	-0.0364  	-0.0048  	0.02971  	0.00038  	-0.0202  	-0.0059  	0.03759  	0.09863  	-0.0002  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.6336  	-0.3224  	-0.2184  	-0.2367  	-0.2438  	-0.4065  	0.31825  	-0.2789  	-0.0921  	0.53318  	0.56610  	0.00741  	-0.0451  	-0.2619  	-0.7360  	-0.1254  	0.14018  	0.04146  	-0.0431  	0.83050  	0.24128  	-0.6507  	-0.7195  	0.01838  	0.02948  	-0.0042  	-0.6288  	0.13463  	0.27448  	-0.1908  	0.00499  	0.00030  	-0.1640  	-0.0336  	-0.0322  	-0.0897  	-0.4268  	-0.1449  	-0.2171  	-0.1426  	0.12341  	0.05679  	-0.1700  	0.15742  	0.04769  	-0.0083  	0.04278  	-0.0858  	-0.0290  	-0.0213  	0.01329  	0.00531  	-0.0163  	-0.0028  	0.02179  	-0.0394  	-0.0059  	0.01151  	0.00369  	-0.0109  	0.00618  	0.03140  	0.07454  	0.00010  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
-0.6242  	-0.3109  	-0.2240  	-0.2257  	-0.2236  	-0.4403  	0.24083  	-0.2145  	-0.0995  	0.46124  	0.60842  	0.02888  	-0.0196  	-0.2626  	-0.6094  	-0.1981  	0.22836  	-0.1000  	-0.0030  	0.68536  	0.40411  	-0.8361  	-0.8556  	0.06319  	-0.0179  	0.05998  	-0.5886  	0.04098  	0.27009  	-0.1954  	0.06400  	-0.0332  	-0.2249  	-0.1479  	-0.0273  	-0.1521  	-0.4226  	-0.1395  	-0.3134  	-0.2088  	0.13045  	0.13819  	-0.2758  	0.18986  	0.01705  	0.00418  	0.03079  	-0.0892  	-0.0437  	-0.0226  	0.01997  	0.00564  	-0.0150  	0.01428  	0.02648  	-0.0346  	-0.0079  	0.00222  	0.00438  	0.00615  	0.00544  	0.02988  	0.05779  	0.00359  	-0.1359  	0.16801  	-0.0833  	0.00985  	0.02390  	-0.2931  	
