-0.0922  	-0.3234  	0.28614  	0.25828  	-0.3441  	0.24670  	0.45201  	0.14284  	0.09261  	0.38735  	1.33601  	-0.7509  	-0.3248  	-0.6028  	-1.2257  	-0.4568  	0.34657  	-0.0549  	-0.2158  	1.65397  	1.37317  	-1.4785  	-0.9049  	0.16032  	0.44539  	-0.1310  	-0.7091  	0.24594  	-0.1304  	-0.2395  	-0.1276  	0.21302  	-0.1569  	0.17853  	0.29910  	-0.4155  	-0.0022  	-0.0712  	-0.4848  	-0.0757  	0.12935  	-0.1085  	-0.1114  	0.19956  	0.12936  	-0.0080  	0.12789  	-0.2178  	-0.0808  	0.05071  	0.02758  	0.00350  	-0.0406  	0.03314  	0.04171  	-0.0703  	-0.0280  	0.01508  	-0.0019  	-0.0267  	-0.0038  	0.00861  	0.11261  	0.00623  	-0.1331  	0.15297  	-0.0869  	0.01329  	0.02173  	-0.1859  	1.03868  	124.595  	103.553  	
-0.2830  	-0.3553  	0.13286  	0.14407  	-0.3566  	0.07471  	0.43350  	0.03866  	0.01581  	0.44305  	1.34330  	-0.7685  	-0.3676  	-0.6785  	-1.2774  	-0.5472  	0.33003  	-0.0157  	-0.2295  	1.69037  	1.25257  	-1.4841  	-0.9036  	0.12131  	0.45860  	-0.1138  	-0.7517  	0.33222  	-0.0544  	-0.2350  	-0.1151  	0.18442  	-0.1899  	0.18444  	0.26372  	-0.3786  	-0.0594  	-0.0939  	-0.4622  	-0.0183  	0.15817  	-0.0976  	-0.1201  	0.19353  	0.13328  	4.94371  	0.12013  	-0.2288  	-0.1002  	0.06568  	0.02531  	0.00542  	-0.0415  	0.03639  	0.04185  	-0.0813  	-0.0230  	0.01967  	0.00791  	-0.0338  	-0.0051  	0.01316  	0.11413  	0.00711  	-0.1333  	0.15434  	-0.0854  	0.01219  	0.02215  	-0.1831  	1.03868  	124.595  	103.553  	
-0.3478  	-0.4063  	0.09421  	0.15579  	-0.3876  	0.06320  	0.40669  	0.01109  	0.00353  	0.43600  	1.36251  	-0.7945  	-0.3960  	-0.7658  	-1.2869  	-0.5623  	0.34499  	-0.0227  	-0.2412  	1.69030  	1.25158  	-1.4791  	-0.8989  	0.12084  	0.46485  	-0.1005  	-0.7633  	0.32906  	-0.0389  	-0.2381  	-0.1335  	0.19378  	-0.2065  	0.18726  	0.23241  	-0.3515  	-0.0776  	-0.0847  	-0.4567  	-0.0160  	0.17002  	-0.0925  	-0.1192  	0.20698  	0.14408  	-0.0074  	0.12734  	-0.2360  	-0.1013  	0.06336  	0.01848  	0.00428  	-0.0378  	0.03974  	0.04384  	-0.0820  	-0.0260  	0.01843  	0.00805  	-0.0287  	-0.0027  	0.00950  	0.11039  	0.01109  	-0.1333  	0.15532  	-0.0844  	0.01119  	0.02235  	-0.1807  	1.03868  	124.595  	103.553  	
-0.5111  	-0.4826  	-0.0141  	0.05135  	-0.3990  	-0.0424  	0.43259  	-0.0786  	-0.0317  	0.48193  	1.37247  	-0.8517  	-0.4194  	-0.8836  	-1.3867  	-0.6133  	0.34244  	0.02494  	-0.2470  	1.72613  	1.13490  	-1.4719  	-0.9164  	0.05097  	0.46729  	-0.0914  	-0.8229  	0.41587  	0.07016  	-0.2318  	-0.1421  	0.19173  	-0.2099  	0.18004  	0.14130  	-0.2851  	-0.1619  	-0.1087  	-0.4378  	-0.0025  	0.20798  	-0.1004  	-0.1206  	0.20442  	0.13943  	-0.0059  	0.13884  	-0.2338  	-0.1003  	0.04568  	0.01722  	0.00285  	-0.0390  	0.03508  	0.04592  	-0.0801  	-0.0250  	0.01591  	0.00496  	-0.0305  	-0.0039  	0.00926  	0.10960  	0.01133  	-0.1331  	0.15591  	-0.0839  	0.01029  	0.02230  	-0.1788  	1.03868  	124.595  	103.553  	
-0.5742  	-0.4877  	-0.0089  	0.01039  	-0.4042  	-0.0733  	0.42186  	-0.0883  	-0.0347  	0.50484  	1.37031  	-0.8454  	-0.4242  	-0.8875  	-1.4243  	-0.5955  	0.34804  	0.04355  	-0.2418  	1.72020  	1.11372  	-1.4770  	-0.9335  	0.04022  	0.45022  	-0.0837  	-0.8591  	0.43641  	0.07886  	-0.2393  	-0.1253  	0.18210  	-0.2086  	0.18472  	0.13194  	-0.2808  	-0.1786  	-0.1162  	-0.4360  	-0.0102  	0.20966  	-0.0993  	-0.1211  	0.20298  	0.13731  	-0.0038  	0.13588  	-0.2378  	-0.0991  	0.04735  	0.01830  	0.00187  	-0.0392  	0.03315  	0.04570  	-0.0828  	-0.0239  	0.01425  	0.00376  	-0.0317  	-0.0023  	0.00812  	0.10702  	0.00969  	-0.1326  	0.15611  	-0.0837  	0.00949  	0.02202  	-0.1774  	1.03868  	124.595  	103.553  	
-0.7140  	-0.5167  	-0.0455  	-0.0215  	-0.4012  	-0.1283  	0.39176  	-0.1280  	-0.0522  	0.56851  	1.31783  	-0.8441  	-0.4163  	-0.9343  	-1.5120  	-0.6056  	0.33988  	0.07751  	-0.2267  	1.73820  	1.02756  	-1.4987  	-0.9784  	-0.0015  	0.45208  	-0.0739  	-0.9141  	0.53673  	0.14318  	-0.2301  	-0.1056  	0.17476  	-0.2155  	0.19084  	0.09742  	-0.2591  	-0.2486  	-0.1394  	-0.4014  	0.00636  	0.20286  	-0.0923  	-0.1272  	0.20547  	0.13509  	-0.0045  	0.13699  	-0.2416  	-0.0920  	0.05436  	0.02784  	0.00407  	-0.0430  	0.03231  	0.04406  	-0.0858  	-0.0243  	0.01418  	0.00300  	-0.0316  	-0.0029  	0.00501  	0.11149  	0.00774  	-0.1318  	0.15592  	-0.0841  	0.00880  	0.02150  	-0.1765  	1.03868  	124.595  	103.553  	
-0.7891  	-0.5374  	-0.1095  	-0.0656  	-0.4018  	-0.1658  	0.39252  	-0.1518  	-0.0644  	0.59610  	1.31250  	-0.8381  	-0.4329  	-1.0047  	-1.5878  	-0.6274  	0.33045  	0.08927  	-0.2077  	1.76120  	0.97233  	-1.5022  	-0.9882  	-0.0236  	0.44620  	-0.0734  	-0.9360  	0.60328  	0.17916  	-0.2369  	-0.1008  	0.16722  	-0.2403  	0.19618  	0.07056  	-0.2365  	-0.3021  	-0.1566  	-0.3652  	-0.0024  	0.20076  	-0.0987  	-0.1212  	0.21201  	0.13966  	-0.0088  	0.13467  	-0.2370  	-0.0858  	0.05650  	0.03352  	0.00282  	-0.0390  	0.02993  	0.04560  	-0.0915  	-0.0214  	0.02111  	0.00526  	-0.0343  	-0.0047  	0.00292  	0.11527  	0.00893  	-0.1308  	0.15534  	-0.0849  	0.00821  	0.02075  	-0.1762  	1.03868  	124.595  	103.553  	
-0.7744  	-0.5624  	-0.1853  	-0.0485  	-0.3469  	-0.1588  	0.40624  	-0.1476  	-0.0755  	0.55480  	1.30643  	-0.8329  	-0.4236  	-0.9972  	-1.5599  	-0.6513  	0.31818  	0.08467  	-0.1982  	1.78940  	0.95925  	-1.5021  	-1.0174  	-0.0108  	0.46156  	-0.0768  	-0.9264  	0.60807  	0.19184  	-0.2336  	-0.0989  	0.15424  	-0.2368  	0.19522  	0.07650  	-0.2277  	-0.3079  	-0.1792  	-0.3664  	-0.0057  	0.18942  	-0.1010  	-0.1254  	0.20981  	0.14382  	-0.0107  	0.13324  	-0.2358  	-0.0877  	0.05504  	0.04048  	0.00200  	-0.0357  	0.02670  	0.04450  	-0.0915  	-0.0151  	0.02508  	0.00370  	-0.0363  	-0.0065  	0.00021  	0.11682  	0.01048  	-0.1292  	0.15347  	-0.0868  	0.00843  	0.01882  	-0.1832  	1.03868  	124.595  	103.553  	
-0.5659  	-0.4845  	-0.0574  	0.05299  	-0.3169  	-0.0883  	0.42624  	-0.0955  	-0.0415  	0.50489  	1.32157  	-0.8213  	-0.3884  	-0.8269  	-1.4821  	-0.6167  	0.31710  	0.04519  	-0.2051  	1.77739  	1.05519  	-1.5165  	-1.0371  	0.05127  	0.44520  	-0.1063  	-0.9028  	0.55455  	0.11138  	-0.2462  	-0.1190  	0.18029  	-0.1856  	0.20256  	0.15447  	-0.2889  	-0.2273  	-0.1702  	-0.3960  	-0.0072  	0.16646  	-0.0886  	-0.1367  	0.18606  	0.14767  	0.00034  	0.12663  	-0.2440  	-0.0873  	0.06460  	0.04200  	-0.0016  	-0.0382  	0.02807  	0.04143  	-0.0833  	-0.0113  	0.01892  	0.00380  	-0.0283  	-0.0022  	0.00212  	0.11161  	0.00888  	-0.1285  	0.15159  	-0.0890  	0.00813  	0.01776  	-0.1898  	1.03868  	124.595  	103.553  	
-0.3906  	-0.4664  	0.05569  	0.11080  	-0.2941  	-0.0006  	0.45323  	-0.0983  	-0.0288  	0.56203  	1.28880  	-0.8271  	-0.3868  	-0.8590  	-1.5224  	-0.5216  	0.29811  	0.06373  	-0.2184  	1.77454  	1.06220  	-1.5394  	-1.0301  	0.04166  	0.47714  	-0.1160  	-0.8730  	0.53080  	0.08868  	-0.2284  	-0.1420  	0.19401  	-0.2182  	0.18768  	0.18680  	-0.2474  	-0.2111  	-0.1462  	-0.4320  	0.00839  	0.15124  	-0.0897  	-0.1329  	0.19503  	0.14467  	-0.0093  	0.13227  	-0.2282  	-0.0817  	0.04918  	0.04699  	-0.0013  	-0.0428  	0.02643  	0.04374  	-0.0826  	-0.0089  	0.02128  	0.00160  	-0.0332  	-0.0121  	-0.0066  	0.11539  	0.01132  	-0.1269  	0.14956  	-0.0914  	0.00755  	0.01689  	-0.1884  	1.03868  	124.595  	103.553  	
